image,width,desk_avg_ms,desk_min_ms,ref_avg_ms,ref_min_ms,ssim,desk_dims,ref_dims
small-120kb,100,53,51,192,162,0.9204,100x67,100x66
small-120kb,250,51,48,175,160,0.9161,250x167,250x166
small-120kb,500,58,54,171,163,0.9152,500x333,500x333
small-120kb,1024,72,67,176,175,0.9021,1024x682,1024x682
small-120kb,2048,62,52,162,142,0.9904,1280x853,1280x853
large-28mb,100,15275,10410,27202,26629,0.9391,100x67,100x66
large-28mb,250,9365,9309,24999,24720,0.9419,250x167,250x166
large-28mb,500,9509,9425,24516,24268,0.9519,500x333,500x333
large-28mb,1024,9429,8989,24511,24270,0.9553,1024x683,1024x682
large-28mb,2048,10230,8668,25593,24915,0.9527,2048x1365,2048x1365
